lago,fecha,x,y,ndci,chl_a_estimada,pixeles_validos,alta_cianobacteria
amatitlan,2025-11-24,754650.0,1594650.0,0.044348124,4.9830475,108,0
amatitlan,2025-11-24,754950.0,1594650.0,0.02220469,4.1628847,135,0
amatitlan,2025-11-24,755250.0,1594650.0,0.084862396,6.1183267,135,0
amatitlan,2025-11-24,755550.0,1594650.0,0.21899442,11.016005,135,0
amatitlan,2025-11-24,755850.0,1594650.0,0.23237129,12.151124,135,1
amatitlan,2025-11-24,756150.0,1594650.0,0.24937893,12.761674,135,1
amatitlan,2025-11-24,756450.0,1594650.0,0.26063085,12.324301,135,1
amatitlan,2025-11-24,756750.0,1594650.0,0.25490063,11.754743,135,0
amatitlan,2025-11-24,757050.0,1594650.0,0.25622815,12.716824,135,1
amatitlan,2025-11-24,757350.0,1594650.0,0.26865357,14.500456,135,1
amatitlan,2025-11-24,757650.0,1594650.0,0.28333932,15.107972,135,1
amatitlan,2025-11-24,757950.0,1594650.0,0.26943386,13.69048,135,1
amatitlan,2025-11-24,758250.0,1594650.0,0.14217232,7.0583324,135,0
amatitlan,2025-11-24,758550.0,1594650.0,0.25192153,14.2805805,135,1
amatitlan,2025-11-24,758850.0,1594650.0,0.24702205,13.05785,135,1
amatitlan,2025-11-24,759150.0,1594650.0,0.246464,12.78158,135,1
amatitlan,2025-11-24,759450.0,1594650.0,0.11678163,7.4369025,135,0
amatitlan,2025-11-24,759750.0,1594650.0,0.005103732,3.986669,135,0
amatitlan,2025-11-24,760050.0,1594650.0,0.116588496,9.196016,135,0
amatitlan,2025-11-24,760350.0,1594650.0,0.270123,16.144567,135,1
amatitlan,2025-11-24,760650.0,1594650.0,0.33609366,24.767841,135,1
amatitlan,2025-11-24,760950.0,1594650.0,0.3707816,30.027296,135,1
amatitlan,2025-11-24,761250.0,1594650.0,0.3050136,18.975372,135,1
amatitlan,2025-11-24,761550.0,1594650.0,0.2756823,15.2733345,135,1
amatitlan,2025-11-24,761850.0,1594650.0,0.24472632,12.466574,135,1
amatitlan,2025-11-24,762150.0,1594650.0,0.26200095,14.233339,135,1
amatitlan,2025-11-24,762450.0,1594650.0,0.2755484,14.546124,135,1
amatitlan,2025-11-24,762750.0,1594650.0,0.28558627,16.487066,135,1
amatitlan,2025-11-24,763050.0,1594650.0,0.28413498,14.835561,135,1
amatitlan,2025-11-24,763350.0,1594650.0,0.2941788,15.923485,135,1
amatitlan,2025-11-24,763650.0,1594650.0,0.27598843,13.711145,135,1
amatitlan,2025-11-24,763950.0,1594650.0,0.22844963,10.051106,135,0
amatitlan,2025-11-24,764250.0,1594650.0,0.22388339,9.887433,135,0
amatitlan,2025-11-24,764550.0,1594650.0,0.2472606,14.849038,135,1
amatitlan,2025-11-24,764850.0,1594650.0,0.25362137,14.389301,135,1
amatitlan,2025-11-24,765150.0,1594650.0,0.2780229,14.962967,135,1
amatitlan,2025-11-24,765450.0,1594650.0,0.25887707,14.4582615,135,1
amatitlan,2025-11-24,765750.0,1594650.0,0.26075497,14.124898,135,1
amatitlan,2025-11-24,766050.0,1594650.0,0.2529357,15.379843,135,1
