lago,fecha,x,y,ndci,chl_a_estimada,pixeles_validos,alta_cianobacteria
atitlan,2025-12-29,680250.0,1614150.0,-0.00251511,3.9126797,84,0
atitlan,2025-12-29,680550.0,1614150.0,0.0043552653,4.06355,105,0
atitlan,2025-12-29,680850.0,1614150.0,-0.0072648725,3.8713365,105,0
atitlan,2025-12-29,681150.0,1614150.0,-0.0018746852,3.9936948,105,0
atitlan,2025-12-29,681450.0,1614150.0,-0.0077254805,3.8869867,105,0
atitlan,2025-12-29,681750.0,1614150.0,-0.012970634,3.7708082,105,0
atitlan,2025-12-29,682050.0,1614150.0,-0.018118987,3.5723453,105,0
atitlan,2025-12-29,682350.0,1614150.0,-0.0050077853,3.9034004,105,0
atitlan,2025-12-29,682650.0,1614150.0,-0.013260017,3.694957,105,0
atitlan,2025-12-29,682950.0,1614150.0,-0.016884401,3.55352,105,0
atitlan,2025-12-29,683250.0,1614150.0,-0.007448902,3.8782332,105,0
atitlan,2025-12-29,683550.0,1614150.0,-0.0076093986,3.8643026,105,0
atitlan,2025-12-29,683850.0,1614150.0,-0.009011353,3.8583784,105,0
atitlan,2025-12-29,684150.0,1614150.0,-0.012547592,3.7658017,105,0
atitlan,2025-12-29,684450.0,1614150.0,-0.010604791,3.8081958,105,0
atitlan,2025-12-29,684750.0,1614150.0,-0.014676658,3.6882076,105,0
atitlan,2025-12-29,685050.0,1614150.0,-0.0050951866,3.9190981,105,0
atitlan,2025-12-29,685350.0,1614150.0,-0.0052278354,3.9199095,105,0
atitlan,2025-12-29,685650.0,1614150.0,-0.005831683,3.9165864,105,0
atitlan,2025-12-29,685950.0,1614150.0,-0.0040974296,3.9586802,105,0
atitlan,2025-12-29,686250.0,1614150.0,0.00012379677,3.9576108,105,0
atitlan,2025-12-29,686550.0,1614150.0,0.05309302,4.6435657,105,0
atitlan,2025-12-29,686850.0,1614150.0,0.17329869,10.889213,105,0
atitlan,2025-12-29,687150.0,1614150.0,0.3148306,19.898607,105,1
atitlan,2025-12-29,687450.0,1614150.0,0.28594798,16.633106,105,1
atitlan,2025-12-29,687750.0,1614150.0,0.13693666,5.9828277,105,0
atitlan,2025-12-29,688050.0,1614150.0,0.054562606,5.020386,105,0
atitlan,2025-12-29,688350.0,1614150.0,0.068171196,4.8497105,105,0
atitlan,2025-12-29,688650.0,1614150.0,0.042681303,4.543451,105,0
atitlan,2025-12-29,688950.0,1614150.0,-0.0045445436,3.8033369,105,0
atitlan,2025-12-29,689250.0,1614150.0,0.00019080284,4.017125,105,0
atitlan,2025-12-29,689550.0,1614150.0,0.02754683,4.3442593,105,0
atitlan,2025-12-29,689850.0,1614150.0,0.0928116,5.13416,105,0
atitlan,2025-12-29,690150.0,1614150.0,0.02307639,4.318544,105,0
atitlan,2025-12-29,690450.0,1614150.0,0.008417267,4.080153,105,0
atitlan,2025-12-29,690750.0,1614150.0,0.0027014804,4.017321,105,0
atitlan,2025-12-29,691050.0,1614150.0,-0.0037238095,3.9343445,105,0
atitlan,2025-12-29,691350.0,1614150.0,-0.0011484412,3.996063,105,0
atitlan,2025-12-29,691650.0,1614150.0,0.026515061,4.390039,105,0
atitlan,2025-12-29,691950.0,1614150.0,0.11978752,7.0339637,105,0
atitlan,2025-12-29,692250.0,1614150.0,0.28858835,16.04656,105,1
atitlan,2025-12-29,692550.0,1614150.0,0.27931938,14.617897,105,1
atitlan,2025-12-29,692850.0,1614150.0,0.29391646,16.113903,105,1
atitlan,2025-12-29,693150.0,1614150.0,0.29597297,16.726244,105,1
atitlan,2025-12-29,693450.0,1614150.0,0.29270092,16.16355,105,1
atitlan,2025-12-29,693750.0,1614150.0,0.25611743,12.173802,105,1
atitlan,2025-12-29,694050.0,1614150.0,0.25940654,13.194866,105,1
atitlan,2025-12-29,694350.0,1614150.0,0.2493258,12.169279,105,1
atitlan,2025-12-29,694650.0,1614150.0,0.2417178,10.9673815,105,0
atitlan,2025-12-29,694950.0,1614150.0,0.25521988,11.898724,105,0
atitlan,2025-12-29,695250.0,1614150.0,0.2715719,13.590989,105,1
atitlan,2025-12-29,695550.0,1614150.0,0.2689092,13.7107525,105,1
atitlan,2025-12-29,695850.0,1614150.0,0.24439768,11.277592,105,0
atitlan,2025-12-29,696150.0,1614150.0,0.2618051,13.152735,105,1
atitlan,2025-12-29,696450.0,1614150.0,0.2991962,17.750467,105,1
atitlan,2025-12-29,696750.0,1614150.0,0.31867734,20.498396,105,1
atitlan,2025-12-29,697050.0,1614150.0,0.33839223,24.013119,105,1
atitlan,2025-12-29,697350.0,1614150.0,0.23415665,13.658451,105,1
atitlan,2025-12-29,697650.0,1614150.0,0.32244956,21.791132,105,1
atitlan,2025-12-29,697950.0,1614150.0,0.3263024,21.837708,105,1
atitlan,2025-12-29,698250.0,1614150.0,0.3114002,19.206675,105,1
atitlan,2025-12-29,698550.0,1614150.0,0.2535156,13.240241,105,1
atitlan,2025-12-29,698850.0,1614150.0,0.26408133,14.343952,105,1
atitlan,2025-12-29,699150.0,1614150.0,0.2103545,9.39729,105,0
atitlan,2025-12-29,699450.0,1614150.0,0.10051139,5.3954687,105,0
atitlan,2025-12-29,699750.0,1614150.0,0.16502823,7.5116835,105,0
atitlan,2025-12-29,700050.0,1614150.0,0.21302183,11.62859,105,0
atitlan,2025-12-29,700350.0,1614150.0,0.2304968,12.896826,105,1
atitlan,2025-12-29,700650.0,1614150.0,0.18682836,7.921236,105,0
atitlan,2025-12-29,700950.0,1614150.0,0.190669,8.670881,105,0
atitlan,2025-12-29,701250.0,1614150.0,0.2540291,14.224013,105,1
atitlan,2025-12-29,701550.0,1614150.0,0.2685296,13.571682,105,1
atitlan,2025-12-29,701850.0,1614150.0,0.2882694,16.437403,105,1
atitlan,2025-12-29,702150.0,1614150.0,0.32604688,21.85476,105,1
