lago,fecha,bloque_fila,bloque_columna,x,y,b03,b04,b05,b08,ndci,ndvi,ndwi,proporcion_agua,proporcion_tierra,proporcion_otro,chl_a_estimada,pixeles_validos,alta_cianobacteria,id_bloque
amatitlan,2025-01-28,1594,754,754500.0,1594500.0,0.13269617,0.13869832,0.14429569,0.1841012,0.032449357,0.14597015,-0.1647477,0.009569377990430622,0.2511961722488038,0.7392344497607656,4.664739,418,0,amatitlan_1594_754
amatitlan,2025-01-28,1594,755,755500.0,1594500.0,0.088558525,0.08089422,0.10049274,0.20647284,0.14754276,0.44182608,-0.39517373,0.003157894736842105,0.7631578947368421,0.2336842105263158,8.15414,950,0,amatitlan_1594_755
amatitlan,2025-01-28,1594,756,756500.0,1594500.0,0.06730379,0.05132021,0.0778961,0.21763274,0.21758112,0.61311805,-0.51842386,0.0,0.9947368421052631,0.005263157894736842,10.173271,950,0,amatitlan_1594_756
amatitlan,2025-01-28,1594,757,757500.0,1594500.0,0.06879474,0.054360107,0.082456104,0.20387705,0.21420774,0.57410645,-0.4861896,0.0,0.9989473684210526,0.0010526315789473684,10.263282,950,0,amatitlan_1594_757
amatitlan,2025-01-28,1594,758,758500.0,1594500.0,0.07194568,0.06580884,0.08758147,0.17632358,0.1548635,0.43184417,-0.38929924,0.0010526315789473684,0.8315789473684211,0.16736842105263158,8.614012,950,0,amatitlan_1594_758
amatitlan,2025-01-28,1594,759,759500.0,1594500.0,0.060363367,0.040871896,0.061693158,0.16292338,0.14624554,0.34771717,-0.17246993,0.391578947368421,0.6063157894736843,0.002105263157894737,9.694267,950,0,amatitlan_1594_759
amatitlan,2025-01-28,1594,760,760500.0,1594500.0,0.06975989,0.05213126,0.08660831,0.23663947,0.2621415,0.6135248,-0.5065189,0.037894736842105266,0.9610526315789474,0.0010526315789473684,16.133629,950,1,amatitlan_1594_760
amatitlan,2025-01-28,1594,761,761500.0,1594500.0,0.06858779,0.053178106,0.0829961,0.22234736,0.23821713,0.60669297,-0.515383,0.0,0.9810526315789474,0.018947368421052633,13.24794,950,1,amatitlan_1594_761
amatitlan,2025-01-28,1594,762,762500.0,1594500.0,0.068334945,0.04903116,0.07927463,0.23516294,0.24925369,0.6518257,-0.54395574,0.0,0.9842105263157894,0.015789473684210527,12.8074665,950,1,amatitlan_1594_762
amatitlan,2025-01-28,1594,763,763500.0,1594500.0,0.06513621,0.04244958,0.07170527,0.24433811,0.25596383,0.6976186,-0.5708438,0.0,1.0,0.0,12.206263,950,1,amatitlan_1594_763
