lago,fecha,observaciones,porcentaje_del_lago
amatitlan,2025-01-28,36896,10.067176355669062
amatitlan,2025-04-15,36473,9.95175962761052
amatitlan,2025-04-28,18987,5.1806558289540465
amatitlan,2025-11-24,18901,5.157190489443326
amatitlan,2026-01-08,36928,10.07590764478933
amatitlan,2026-02-02,36208,9.8794536395833
amatitlan,2026-02-07,36792,10.038799666028192
amatitlan,2026-03-29,36895,10.066903502884054
amatitlan,2026-04-13,37052,10.109741390130369
amatitlan,2026-04-28,34442,9.397595621258507
amatitlan,2026-06-19,36924,10.074816233649297
atitlan,2025-01-18,311446,10.021991063274667
atitlan,2025-04-13,307664,9.900290446791216
atitlan,2025-05-13,307634,9.899325079658878
atitlan,2025-07-17,25103,0.8077870374362938
atitlan,2025-11-21,308725,9.934432264371582
atitlan,2025-12-29,310611,9.99512167809125
atitlan,2026-02-12,308458,9.92584049689377
atitlan,2026-03-24,307768,9.903637052849989
atitlan,2026-04-13,306970,9.87795828712979
atitlan,2026-04-28,306850,9.874096818600437
atitlan,2026-07-22,306397,9.859519774902127
