lago,fecha,pixeles_raster,mascara_parte_i,indices_finitos,bandas_finitas,observaciones_finales,eliminadas_control_adicional
amatitlan,2025-01-28,306860,36896,36896,36896,36896,0
amatitlan,2025-04-15,306860,36473,36473,36473,36473,0
amatitlan,2025-04-28,306860,18987,18987,18987,18987,0
amatitlan,2025-11-24,306860,18901,18901,18901,18901,0
amatitlan,2026-01-08,306860,36928,36928,36928,36928,0
amatitlan,2026-02-02,306860,36208,36208,36208,36208,0
amatitlan,2026-02-07,306860,36792,36792,36792,36792,0
amatitlan,2026-03-29,306860,36895,36895,36895,36895,0
amatitlan,2026-04-13,306860,37052,37052,37052,37052,0
amatitlan,2026-04-28,306860,34442,34442,34442,34442,0
amatitlan,2026-06-19,306860,36924,36924,36924,36924,0
atitlan,2025-01-18,1194375,311446,311446,311446,311446,0
atitlan,2025-04-13,1194375,307664,307664,307664,307664,0
atitlan,2025-05-13,1194375,307634,307634,307634,307634,0
atitlan,2025-07-17,1194375,25103,25103,25103,25103,0
atitlan,2025-11-21,1194375,308725,308725,308725,308725,0
atitlan,2025-12-29,1194375,310611,310611,310611,310611,0
atitlan,2026-02-12,1194375,308458,308458,308458,308458,0
atitlan,2026-03-24,1194375,307768,307768,307768,307768,0
atitlan,2026-04-13,1194375,306970,306970,306970,306970,0
atitlan,2026-04-28,1194375,306850,306850,306850,306850,0
atitlan,2026-07-22,1194375,306397,306397,306397,306397,0
